Designator,Mid X,Mid Y,Rotation,Layer
R7,110.043999,-108.590588,180.0,top
R10,122.400296,-103.490602,0.0,top
J3,124.588371,-127.13121,180.0,top
R4,135.513642,-95.888938,0.0,top
J10,149.107071,-95.40256,0.0,top
J5,134.799171,-127.13121,180.0,top
R2,110.022842,-82.985739,-90.0,top
C6,133.372022,-108.72891,-90.0,top
U5,129.076942,-92.84756,0.0,top
F1,114.827012,-99.090613,-90.0,top
U10,118.427003,-118.690564,180.0,top
C3,138.4442,-113.090588,180.0,top
J15,119.482971,-82.95005,0.0,top
C1,137.980521,-108.72891,180.0,top
C12,117.624896,-101.990602,0.0,top
C5,151.789657,-111.742982,-90.0,top
U3,110.750406,-117.668,90.0,top
U4,140.990421,-97.92756,-90.0,top
C11,128.636477,-96.840588,-90.0,top
U9,120.553998,-92.017631,0.0,top
C2,138.446107,-111.490588,180.0,top
U2,137.180421,-101.73756,90.0,top
R8,115.227011,-91.490632,0.0,top
J14,114.377571,-82.95005,0.0,top
D2,110.022842,-86.287738,90.0,top
C10,123.150296,-101.990602,0.0,top
J1,114.377571,-127.13121,180.0,top
J6,139.904571,-127.13121,180.0,top
R6,129.640442,-110.179488,90.0,top
J9,124.588371,-82.95005,0.0,top
J2,119.482971,-127.13121,180.0,top
SW3,143.093642,-83.12571,180.0,top
R9,118.027004,-103.490602,0.0,top
D3,122.576942,-110.213588,0.0,top
SW2,127.579221,-115.5192,90.0,top
F3,127.140442,-109.340588,0.0,top
C4,151.789657,-114.433078,-90.0,top
J4,129.693771,-127.13121,180.0,top
D5,144.018,-103.505,90.0,top
RJ1,105.079993,-98.72766,-90.0,top
C7,143.226992,-100.289488,180.0,top
R1,137.580471,-119.93031,0.0,top
C9,141.376942,-116.84,-90.0,top
SW1,128.131671,-103.585,0.0,top
U6,120.428542,-98.50709,-90.0,top
J13,101.877057,-113.12946,90.0,top
J16,145.009971,-127.13121,180.0,top
J12,101.877057,-119.53026,90.0,top
C13,120.400296,-101.990602,180.0,top
U7,118.090937,-112.690579,-90.0,top
Y1,137.980521,-115.888086,-90.0,top
U1,145.626942,-111.890588,0.0,top
U8,120.457943,-106.290595,180.0,top
J11,138.902242,-90.663288,90.0,top
R3,149.86,-105.490138,90.0,top
J8,129.693771,-82.95005,0.0,top
F2,127.140442,-111.090588,180.0,top
C8,135.118005,-114.72966,-90.0,top
J7,134.799171,-82.95005,0.0,top
D1,141.224,-119.93031,180.0,top
